,DistrictCode,SchoolCode,SchoolName,Longitude,Latitude,County,AllStudents,C_AllStudents,G_Female,GC_Female,G_Male,GC_Male,G_GenderX,GC_GenderX,R_Native,RC_Native,R_Asian,RC_Asian,R_Black,RC_Black,R_Hisp_Lat,RC_Hisp_Lat,R_HPI,RC_HPI,R_NA,RC_NA,R_TwoOrMore,RC_TwoOrMore,R_White,RC_White,L_ELL,LC_ELL,L_NoELL,LC_NoELL,I_LowIncome,IC_LowIncome,I_NoLowIncome,IC_NoLowIncome,D_Disability,DC_Disability,D_NoDisability,DC_NoDisability,A_9,AC_9,A_10,AC_10,A_11,AC_11,A_12,AC_12
428,37504,4201,Lynden High School,-122.42832800000001,48.952154,Whatcom,1006,139,494,34,510,105,2,0,7,2,38,15,15,3,287,41,6,1,0,0,28,5,625,72,86,10,920,129,334,55,672,84,132,21,874,118,228,52,261,45,255,26,262,16
429,37505,2554,Meridian High School,-122.491529,48.856058000000004,Whatcom,516,24,247,5,268,19,1,0,5,0,38,2,4,0,113,3,3,1,0,0,29,0,324,18,57,0,459,24,192,8,324,16,56,2,460,22,153,9,143,9,118,3,102,3
430,37506,2459,Nooksack Valley High School,-122.307943,48.964374,Whatcom,493,0,232,0,261,0,0,0,13,0,4,0,1,0,192,0,2,0,0,0,16,0,265,0,66,0,427,0,242,0,251,0,78,0,415,0,142,0,130,0,126,0,95,0
431,37507,2343,Mount Baker Senior High,-122.220781,48.825691,Whatcom,557,28,259,6,298,22,0,0,30,1,5,0,12,1,78,9,0,0,0,0,34,1,398,16,58,6,499,22,279,15,278,13,91,7,466,21,139,8,122,9,145,5,151,6
432,38126,2088,Lacrosse High School,-117.876327,46.813283,Whitman,29,2,12,1,17,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,23,1,0,0,29,2,13,0,16,2,3,1,26,1,12,0,7,0,4,0,6,2
433,38265,3418,Tekoa High School,-117.096157,47.226641,Whitman,73,0,42,0,31,0,0,0,4,0,0,0,1,0,17,0,0,0,0,0,2,0,49,0,0,0,73,0,52,0,21,0,14,0,59,0,13,0,21,0,20,0,19,0
434,38267,2499,Pullman High School,-117.218027,46.730331,Whitman,909,30,430,7,474,23,5,0,3,0,71,3,32,0,127,4,5,0,0,0,57,4,614,19,26,0,883,30,280,3,629,27,104,1,805,29,260,0,221,0,231,16,197,14
435,38300,3366,Colfax High School,-117.361539,46.891779,Whitman,192,9,94,4,98,5,0,0,6,2,4,0,1,0,5,0,0,0,0,0,9,0,167,7,0,0,192,9,64,4,128,5,30,1,162,8,43,0,44,2,60,6,45,1
436,38301,2634,Palouse High School,-117.072222,46.912452,Whitman,57,0,27,0,29,0,1,0,1,0,1,0,0,0,7,0,0,0,0,0,3,0,45,0,0,0,57,0,22,0,35,0,6,0,51,0,11,0,13,0,19,0,14,0
437,38306,2588,Colton School,-117.20658799999998,46.575075,Whitman,39,0,25,0,13,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,0,0,39,0,10,0,29,0,4,0,35,0,7,0,15,0,6,0,11,0
